Something mysterious kills you.,你被某种神秘之物杀死了。,whatWasThat_desc,EN_achievements
What Was That?,那是什么？,whatWasThat,EN_achievements
Survive the game without dying.,在没有死亡的情况下从游戏中生存下来。,survivalist_desc,EN_achievements
Survivalist,生存专家,survivalist,EN_achievements
Collect 10 science samples.,收集10个科学样本。,rockHound_desc,EN_achievements
Rock Hound,矿石迷,rockHound,EN_achievements
Finish the game in under 4 hours.,在4小时内完成游戏。,rocketeer_desc,EN_achievements
Rocketeer,火箭专家,rocketeer,EN_achievements
Read 20 documents.,阅读20份文档。,planetaryHistorian_desc,EN_achievements
Planetary Historian,行星历史学家,planetaryHistorian,EN_achievements
Die every possible way on the planet.,星球上每种死法都死过一次。,lifelessAstronaut_desc,EN_achievements
Lifeless Astronaut,绝命宇航员,lifelessAstronaut,EN_achievements
Enable extended boost with the jetpack.,用喷气背包进行喷气,jetPacker_desc,EN_achievements
Jet-packer,左右开工,jetPacker,EN_achievements
Die from a hard fall.,从高处摔落至死。,gravityKills_desc,EN_achievements
Gravity Kills,重力谋杀,gravityKills,EN_achievements
Collect 15 science samples.,收集15个科学样本。,geologist_desc,EN_achievements
Geologist,地质学家,geologist,EN_achievements
Don't follow the footprints in a dangerous area.,不要跟随危险区域中的脚印。,explorer_desc,EN_achievements
Explorer,探险家,explorer,EN_achievements
Play the game for more than 10 hours.,游玩时间超过10小时。,expeditionLeader_desc,EN_achievements
Expedition Leader,探险队队长,expeditionLeader,EN_achievements
Spend 15 minutes in the town.,在镇上逗留15分钟。,colonist_desc,EN_achievements
Colonist,殖民者,colonist,EN_achievements
Catch on fire.,着火了。,burned_desc,EN_achievements
Burned,燃烧,burned,EN_achievements
Solve a puzzle with the robotic arm.,用机械臂解决一道谜题。,ambidextrous_desc,EN_achievements
Ambidextrous,喷气背包,ambidextrous,EN_achievements
Make a long and difficult jump with the jetpack.,利用喷气背包进行一次困难的远距离跳跃。,adventurer_desc,EN_achievements
nominal,冒险家,adventurer,EN_achievements
TIP: Use your Mobile Robotic Arm with (Y) Button to safely reach high places,提示：用(Y)键使用移动机械臂来安全到达高处。,use_arm_xbox,EN_alerts
TIP: Use your Mobile Robotic Arm with (M) or Joystick (Y) to safely reach high places,提示：用M键或手柄Y键来使用移动机械臂以安全到达高处。,use_arm,EN_alerts
STATUS: Mobile Robotic Arm system acquired.,状态：已获得移动机械臂。,robotarm_acquired,EN_alerts
TIP: You can push certain objects with (X) Button,提示：你可以用X键来推动某些物体。,push_objects_xbox,EN_alerts
TIP: You can push certain objects with Primary Mouse Button or Joystick (X),提示：你可以用鼠标主键或手柄（X）来推动特定的物体。,push_objects,EN_alerts
TIP: You can pick up useful objects with (X) Button,提示：你可以用X键来捡起有用的东西。,pick_up_objects_xbox,EN_alerts
TIP: You can pick up useful objects with Primary Mouse Button or (X) Button,提示：你可以用鼠标主键或X键来捡起有用的东西。,pick_up_objects,EN_alerts
STATUS UPDATE: Oxygen tank filled. Estimated 8 hours remaining,状态更新：氧气罐已装满。预计能使用8小时。,ox_restored,EN_alerts
Your oxygen levels are nominal,你的氧气水平是正常的。,ox_nominal,EN_alerts
NEW OBJECTIVE: You are low on oxygen. Find an oxygen supply before you pass out.,新目标：你的氧气不足。在昏迷前找到氧气供给。,objective_lowox,EN_alerts
BONUS ITEM: You have collected a mineral sample,收集道具：你采集到了一件矿石样本。,mineral,EN_alerts
STATUS: Jetpack fuel collected. Extended boost mode enabled.,状态：已获取喷气背包的燃料。可以使用延长推进模式。,jetpack_fuel,EN_alerts
WARNING: Jetpack fuel depleted. Extended boost mode disabled.,警告：喷气背包的燃料已耗尽。无法使用延长推进模式。,jetpack_depleted,EN_alerts
TIP: Press Right Bumper to enable your flashlight,提示：按下RB键能开启手电筒。,flashlight_xbox,EN_alerts
TIP: Press (F) or Right Bumper to enable your flashlight,提示：按下F键或RB键开启手电筒。,flashlight,EN_alerts
NEW OBJECTIVE: This device needs an energy source.,新目标：该设备需要能量源。,energy_source,EN_alerts
NEW OBJECTIVE: There is no power in this area. Find a way to restore the electricity.,新目标：该区域停电了。想办法恢复其电力。,door_no_power,EN_alerts
NEW OBJECTIVE: This door is locked. Find both parts of the security code.,新目标：这扇门被锁住了。找到两节安保密码。,door_locked_2partcode,EN_alerts
